Start Location,"DIGI145"
End Location,"DIGI157"
Project,RL Viz Test
Start Date,8/3/2016 12:00 AM
End Date,12/31/2016 11:59 PM

Trip Distance(mi),25.63
Expected Travel Time(s),1651 (27:31)
Number of Trips,73563
Average Speed(mph),61.3
Average Travel Time(s),1505.5 (25:05)
Standard Deviation,443.5
15th Percentile Travel Time(s),1426 (23:46)
85th Percentile Travel Time(s),1676 (27:56)
95th Percentile Travel Time(s),2380 (39:40)

* - Values are estimates due to missing data.

Start Time,Average Speed(mph),Average Travel Time(s),Number of Trips
"8/5/2016 3:30:00 PM",26.1,3538,37
"8/5/2016 3:45:00 PM",27.3,3385,23
"8/5/2016 4:00:00 PM*",43.2,2138,24
"8/5/2016 4:15:00 PM*",43.8,2107,30
"8/5/2016 4:30:00 PM",31.2,2961,33
"8/5/2016 4:45:00 PM",29,3183,32
"8/5/2016 5:00:00 PM",32.2,2865,31
"8/5/2016 5:15:00 PM*",52.3,1764,26
"8/5/2016 5:30:00 PM",37.6,2454,19
"8/5/2016 5:45:00 PM*",64,1441,20
"8/5/2016 6:00:00 PM*",64.3,1436,25
"8/5/2016 6:15:00 PM",51.4,1796,22
"8/5/2016 6:30:00 PM",57.6,1602,32
"8/5/2016 6:45:00 PM*",65.8,1402,28
"8/5/2016 7:00:00 PM",67,1378,23
"8/5/2016 7:15:00 PM*",66.2,1393,30
"8/5/2016 7:30:00 PM*",63.4,1456,20
"8/5/2016 7:45:00 PM*",65.1,1418,13
"8/5/2016 8:00:00 PM*",64.5,1431,24
"8/5/2016 8:15:00 PM",40,2309,24
"8/5/2016 8:30:00 PM*",65.7,1404,12
"8/5/2016 8:45:00 PM",67,1378,29
"8/5/2016 9:00:00 PM*",64.2,1437,18
"8/5/2016 9:15:00 PM*",63.4,1455,21
"8/5/2016 9:30:00 PM*",63.7,1449,14
"8/5/2016 9:45:00 PM*",63.9,1444,20
"8/5/2016 10:00:00 PM",67.3,1372,13
"8/5/2016 10:15:00 PM*",64,1443,17
"8/5/2016 10:30:00 PM",66.4,1390,10
"8/5/2016 10:45:00 PM*",65,1420,15
