Start Location,"I-205"
End Location,"Bridge"
Project,""
Start Date,3/29/2013 12:00 AM
End Date,3/31/2013 11:59 PM

Trip Distance(mi),6.73
Expected Travel Time(s),400 (6:40)
Number of Trips,29877
Average Speed(mph),61.6
Average Travel Time(s),393 (6:33)
Standard Deviation,71.9
15th Percentile Travel Time(s),384.5 (6:24)
85th Percentile Travel Time(s),408 (6:48)
95th Percentile Travel Time(s),445.5 (7:25)

* - Values are estimates due to missing data.

Start Time,Average Speed(mph),Average Travel Time(s),Number of Trips
"3/31/2013 7:45:00 AM",60.1,403,74
"3/31/2013 8:00:00 AM",61.4,394,55
"3/31/2013 8:15:00 AM",61.9,391,65
"3/31/2013 8:30:00 AM",60.2,402,81
"3/31/2013 8:45:00 AM",63.1,384,87
"3/31/2013 9:00:00 AM",61.4,395,92
"3/31/2013 9:15:00 AM",62.5,388,111
"3/31/2013 9:30:00 AM",63,385,137
"3/31/2013 9:45:00 AM",63.6,381,132
"3/31/2013 10:00:00 AM",62.6,387,134
"3/31/2013 10:15:00 AM",63.2,383,137
"3/31/2013 10:30:00 AM",61.1,397,114
"3/31/2013 10:45:00 AM",62.4,388,131
"3/31/2013 11:00:00 AM",63.3,383,163
"3/31/2013 11:15:00 AM",61.4,395,185
"3/31/2013 11:30:00 AM",61.9,391,134
"3/31/2013 11:45:00 AM",61.4,395,141
"3/31/2013 12:00:00 PM",62.6,387,170
"3/31/2013 12:15:00 PM",61.2,396,194
"3/31/2013 12:30:00 PM",61.2,396,176
"3/31/2013 12:45:00 PM",62.6,387,182
"3/31/2013 1:00:00 PM",62,391,218
"3/31/2013 1:15:00 PM",62,391,132
"3/31/2013 1:30:00 PM",62.6,387,229
"3/31/2013 1:45:00 PM",64,379,155
"3/31/2013 2:00:00 PM",63.1,384,142
"3/31/2013 2:15:00 PM",62.2,389,142
"3/31/2013 2:30:00 PM",62.6,387,172
"3/31/2013 2:45:00 PM",63.5,382,147
"3/31/2013 3:00:00 PM",63.6,381,115
"3/31/2013 3:15:00 PM",64.6,375,155
"3/31/2013 3:30:00 PM",63.2,383,169
"3/31/2013 3:45:00 PM",63.6,381,164
"3/31/2013 4:00:00 PM",63,385,146
"3/31/2013 4:15:00 PM",62.6,387,156
"3/31/2013 4:30:00 PM",63.9,379,182
"3/31/2013 4:45:00 PM",63.5,382,156
"3/31/2013 5:00:00 PM",63.5,381,179
"3/31/2013 5:15:00 PM",63.5,381,170
"3/31/2013 5:30:00 PM",64.4,376,171
"3/31/2013 5:45:00 PM",63,385,209
"3/31/2013 6:00:00 PM",62.6,387,195
"3/31/2013 6:15:00 PM",63.5,381,171
"3/31/2013 6:30:00 PM",62.6,387,169
"3/31/2013 6:45:00 PM",64,378,152
"3/31/2013 7:00:00 PM",61.6,393,163
"3/31/2013 7:15:00 PM",62.8,386,161
"3/31/2013 7:30:00 PM",62.8,386,123
"3/31/2013 7:45:00 PM",62.6,387,116
"3/31/2013 8:00:00 PM",60.8,399,111
"3/31/2013 8:15:00 PM",60.2,402,114
"3/31/2013 8:30:00 PM",62.2,390,132
"3/31/2013 8:45:00 PM",62.6,387,117
"3/31/2013 9:00:00 PM",61.8,392,132
"3/31/2013 9:15:00 PM",59.5,407,84
"3/31/2013 9:30:00 PM",62.7,386,77
"3/31/2013 9:45:00 PM",61.2,396,72
"3/31/2013 10:00:00 PM",62.2,389,68
"3/31/2013 10:15:00 PM",61.6,393,83
"3/31/2013 10:30:00 PM",62.9,385,62
"3/31/2013 10:45:00 PM",62.1,390,39
"3/31/2013 11:00:00 PM",61.8,392,32
"3/31/2013 11:15:00 PM",62.2,389,31
"3/31/2013 11:30:00 PM",60.1,403,22
"3/31/2013 11:45:00 PM",61,397,27
